,"Global Unicorn Club: Private Companies Valued at $1B+
(as of May 8th, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Company,Valuation ($B) ,Country,Category,Select Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10X Genomics,$1 ,United States,Genomics,"Fidelity Investments, Paladin Capital Group, Meritech Capital Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17zuoye,$1 ,China,EdTech,"DST Global, Temasek Holdings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23andMe,$2 ,United States,Healthcare,"Google Ventures, New Enterprise Associates, MPM Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Paradigm,$1 ,China,Cybersecurity,"Sequoia Capital China, China Construction Bank, Bank of China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58 Daojia,$1 ,China,Internet Software & Services,"KKR, Alibaba Group, Ping An Insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9f Group,$1 ,China,Fintech,"China Cinda Asset Management, IDG Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,About You,$1 ,Germany,eCommerce,"German Media Pool, Seven Venture Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACORN OakNorth,$2 ,United Kingdom,Fintech,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actifio,$1 ,United States,Big Data,"Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adaptive Biotechnologies,$1 ,United States,Healthcare,"Illumina, Celgene, Casdin Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Affirm,$3 ,United States,Fintech,"Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afiniti,$2 ,United States,Internet Software & Services,GAM Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age of Learning,$1 ,United States,Edtech,Iconiq Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aihuishou,$2 ,China,Marketplace,"Morningside Ventures, JD.com, Tiantu Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aijia Life,$1 ,China,Construction Tech,"Tiantu Capital, Fortune Capital, Zhenghedao Fund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Airbnb,$29 ,United States,eCommerce/Marketplace,"General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Airtable,$1 ,United States,Internet Software & Services,"Caffeinated Capital, CRV, Founder Collective",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Airwallex,$1 ,Australia,Fintech,"DST Global, Sequoia Capital China, Tencent Holdings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIWAYS,$2 ,China,Auto Tech,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allbirds,$1 ,United States,Apparel,"Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AppDirect,$1 ,United States,Internet Software & Services,"Mithril, iNovia Capital, Foundry Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AppLovin,$1 ,United States,Adtech,"Orient Hontai Capital, Webb Investment Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apus Group,$1 ,China,Mobile Software & Services,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asana,$2 ,United States,Internet Software & Services,"8VC, Benchmark, Generation Investment Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atom Bank,$1 ,United Kingdom,Fintech,"Toscafund Asset Management, Woodford Investment Management, BBVA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aurora,$2 ,United States,AutoTech,"Index Ventures, Greylock Partners, Lightspeed Venture Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Auto1 Group,$4 ,Germany,eCommerce/Marketplace,"Digital Sky Technologies, Piton Capital, DN Capital, SoftBank Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automation Anywhere,$3 ,United States,Robotics,"General Atlantic, Goldman Sachs, New Enterprise Associates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automattic,$1 ,United States,Internet Software & Services,"Insight Venture Partners, Lowercase Capital, Polaris Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avaloq Group,$1 ,Switzerland,Fintech,Warbug Pincus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avant,$2 ,United States,Fintech,"RRE Ventures, Tiger Global, August Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AvidXchange,$1 ,United States,Fintech,"Temasek Holdings, Charlotte Angel Partners, TPG Growth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BeiBei,$1 ,China,eCommerce/Marketplace,"Banyan Capital, New Horizon Capital, IDG Capital Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,benevolent.ai,$2 ,United Kingdom,Healthcare,Woodford Investment Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BGL Group,$3 ,United Kingdom,Fintech,CPP Investment Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BigBasket,$1 ,India,eCommerce/Marketplace,"Alibaba Group, Bessemer Venture Partners, Helion Venture Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bill.com,$1 ,United States,Fintech,"August Capital, DCM Ventures, Emergence Capital Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bird Rides,$2 ,United States,Travel,"Tusk Ventures, Craft Ventures, Sequoia Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bitmain Technologies,$12 ,China,Blockchain,"Coatue Management, Sequoia Capital China, IDG Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BlaBlaCar,$2 ,France,On-Demand,"Accel Partners, Index Ventures, Insight Venture Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bluehole,$5 ,South Korea,Travel Tech,"Tencent Holdings, Stonebridge Capital, IMM Investment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolt,$1 ,Estonia,On-demand,"Didi Chuxing, Diamler, TMT Investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
